,index,ID,Waist,Hip,Gender,W2H Ratio,Shape
0,0,1,30.0,32.0,M,0.9375,Apple
1,1,2,32.0,37.0,M,0.8648648648648649,Pear
2,2,3,30.0,36.0,M,0.8333333333333334,Pear
3,3,4,33.0,39.0,M,0.8461538461538461,Pear
4,4,5,29.0,33.0,M,0.8787878787878788,Pear
5,5,6,32.0,38.0,M,0.8421052631578947,Pear
6,6,7,33.0,42.0,M,0.7857142857142857,Pear
7,7,8,30.0,40.0,M,0.75,Pear
8,8,9,30.0,37.0,M,0.8108108108108109,Pear
9,9,10,32.0,39.0,M,0.8205128205128205,Pear
10,10,11,24.0,35.0,F,0.6857142857142857,Pear
11,11,12,25.0,37.0,F,0.6756756756756757,Pear
12,12,13,24.0,37.0,F,0.6486486486486487,Pear
13,13,14,22.0,34.0,F,0.6470588235294118,Pear
14,14,15,26.0,38.0,F,0.6842105263157895,Pear
15,15,16,26.0,37.0,F,0.7027027027027027,Pear
16,16,17,25.0,38.0,F,0.6578947368421053,Pear
17,17,18,26.0,37.0,F,0.7027027027027027,Pear
18,18,19,28.0,40.0,F,0.7,Pear
19,19,20,23.0,35.0,F,0.6571428571428571,Pear
